,ruptureStatus,Systole_STAWSS,Systole_WSSMin,Systole_WSSMax,Mean_OSI,Std_OSI,TA_LSA_2,TA_LSA_Std_2,Bulbous,sacVolume,Height,Sac_Max_Width,Size_ratio_height,Size_ratio_width,aspectRatio_star,vesselDiameter,Systole_TADVO,Systole_DVOStd,Ostium Minimum,Ostium Maximum,Aneurysm Area,Ostium Area,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
Aneurysm Area,0.21987600663441384,-0.17903742034674372,-0.034998280319532324,0.03921380155165668,0.04858449339336876,-0.038239318167554444,0.1380594944566043,0.03096669453394,0.02859775613470147,0.9724304249425482,0.905462226609002,0.856517299482015,0.4968639638733767,0.3711316838393545,0.42647650693800276,0.42415689381928573,-0.2930575672569187,0.06257593005052728,0.4610719307300036,0.5302905696929908,1.0,0.39541210866301046,0.329896704744204,0.32824886683723065,0.27530384635705296,0.22497538896287264,0.18831954990532668,0.20640833600128716,0.3013547355752815,0.3378326869078212,0.2816230671081157,0.43306541653017966
Ostium Area,0.29125778292704,-0.039587750144971436,-0.13148853068601002,-0.14460059274890524,-0.037152305010576536,-0.08301819154535452,-0.0938923326026987,0.057795291994773706,-0.10260817127752388,0.3951488134917499,0.34685100889095716,0.4546356765982731,0.024687751056116876,0.08173678275624768,-0.20072465221667815,0.3926110653000641,0.013790663735991136,-0.0629989286538313,0.714340670682206,0.7350779162741072,0.39541210866301046,1.0,0.21383288414055854,0.20324745599185678,0.18481475871803546,0.15860251048471796,0.15949567311014395,0.1839998962779682,0.28369697996606275,0.30038452837194524,0.24823261072057032,0.12540821142500289
V2,0.17446587092874102,-0.07272851513436639,0.022577475753226505,0.05134775549821149,-0.0788580588498968,-0.10593788382851338,-0.10011699133660336,0.10658159844575928,-0.32837069998318935,0.33306816273735323,0.37587954621163827,0.304861618752462,0.24310222123035424,0.09635605982033119,0.1539681337090541,0.16750162500634197,-0.008078154333945162,-0.01649959487095641,0.23353243823244582,0.2421243200286335,0.329896704744204,0.21383288414055854,1.0,0.8875074326230359,0.7864562005714655,0.7379488535942591,0.6341159366569005,0.593585162379582,0.4660745422497592,0.37461352239955187,0.2845912765851628,0.2568637595195824
V3,0.16511706515936,0.006918085130644352,0.11440033631997165,0.09174351149597842,-0.1609552357081494,-0.22747260552419604,-0.1574170991868212,0.09767728326798146,-0.40178612068623737,0.3348705690139229,0.3599344115097319,0.23449565993924723,0.15958622578004739,-0.03205746740610127,0.11860642141284411,0.20371755620579546,-0.01089178771926453,-0.07672940354829563,0.28032641319143,0.19846125767333445,0.32824886683723065,0.20324745599185678,0.8875074326230359,1.0,0.934660164730686,0.8185847935191796,0.750820391581638,0.6821894421931782,0.5632443695497121,0.4827896682311257,0.3765323538435626,0.270177299008024
V4,0.2139012943915497,0.06137592591741101,0.142926215600927,0.11841716367475118,-0.14908469552866083,-0.2636914729816387,-0.18244952195104128,0.095799728872935,-0.47425069865411007,0.2719247117999012,0.3024328942287648,0.1310219001505068,0.09345758860404203,-0.14145518791033182,0.08390459353295675,0.22873870181075082,0.037043202003792984,-0.1326695298115735,0.307779425617181,0.15631376482017406,0.27530384635705296,0.18481475871803546,0.7864562005714655,0.934660164730686,1.0,0.8957336993858906,0.8271948211407514,0.7582259109103145,0.5973414257130776,0.5081416357329352,0.4094882573791202,0.27299058954027394
V5,0.27408476519944525,0.06831897985089606,0.1463147977402182,0.07659588212872001,-0.07107238041075616,-0.2281600828010604,-0.2596839020357109,0.14538722364550163,-0.38773339717665595,0.21962119585491477,0.22308806423458907,0.08401350460534093,0.021342689885202333,-0.19184157075784547,0.03189778167008662,0.21162634514030945,0.06745937638664407,-0.1760247158124008,0.28221142515708325,0.1318796264986584,0.22497538896287264,0.15860251048471796,0.7379488535942591,0.8185847935191796,0.8957336993858906,1.0,0.881798143970299,0.7394426707582176,0.5699729828204465,0.46479299425923154,0.37358989378561497,0.23638656473523123
V6,0.23051405916055695,0.054055317740599046,0.1252064306323396,0.08607815566796902,-0.07762299369343259,-0.20121264618939827,-0.18676136567911367,0.12637974912557487,-0.39105755738688863,0.20168162165517753,0.17818839473784465,0.05603863466323779,-0.07167653433374581,-0.2458351206909071,-0.0026866673155002243,0.2309422085119304,0.07151644207655491,-0.2021571332506086,0.2664325416173901,0.12707237500502064,0.18831954990532668,0.15949567311014395,0.6341159366569005,0.750820391581638,0.8271948211407514,0.881798143970299,1.0,0.8074914154150198,0.6184463551379272,0.48133520427239457,0.39030292721106585,0.23939595130743802
V7,0.18363583247609497,0.06336352941372612,0.14251781374316963,0.049195933187309554,-0.0429336939874912,-0.15270939394690314,-0.12991104145144258,0.03397014457937989,-0.4328855286164329,0.2345565196771567,0.21354106405154594,0.0606047400984126,0.021880045708814872,-0.16051151786653564,-0.012347001010919853,0.15286986011572634,0.08702564529294433,-0.1419587972274295,0.24830042621173043,0.18872571672234167,0.20640833600128716,0.1839998962779682,0.593585162379582,0.6821894421931782,0.7582259109103145,0.7394426707582176,0.8074914154150198,1.0,0.750102027747307,0.5514530419084054,0.4273023941555009,0.25026487882922466
V8,0.18149868829010485,0.11018385889553903,0.18586629213851108,0.05451618813831962,0.009113590410119915,-0.07427964218351689,-0.12900922420992997,-0.07157543783702182,-0.2999391011807815,0.33283770157579734,0.2570785755625946,0.22053996479148794,0.0232876973225665,-0.028676716108011414,-0.09948107958284062,0.1900350470477349,-0.02745148287730311,-0.1794598335296416,0.36366183501364047,0.32525301909353493,0.3013547355752815,0.28369697996606275,0.4660745422497592,0.5632443695497121,0.5973414257130776,0.5699729828204465,0.6184463551379272,0.750102027747307,1.0,0.7143903259353722,0.5361148555075858,0.304550895967906
V9,0.2434495059874883,0.016742339345499107,0.1624047743773717,0.01127631907051937,0.053077242341613894,-0.14714513437921306,-0.03337812443694495,-0.005213190942703414,-0.23923567061503367,0.34700058954294843,0.29440553999895264,0.23831094218373874,0.077931025741058,0.02261098012300991,-0.061098180955828064,0.18708681888848963,-0.09571312532614742,-0.11790633818490136,0.3840907129399767,0.28841088110159513,0.3378326869078212,0.30038452837194524,0.37461352239955187,0.4827896682311257,0.5081416357329352,0.46479299425923154,0.48133520427239457,0.5514530419084054,0.7143903259353722,1.0,0.7367830362000671,0.4116152645986388
V10,0.26976627343717285,0.08365907787661084,0.24238073740838517,0.10018220694867974,0.09732973451410712,-0.12813819526094167,-0.10871071608315801,-0.0354558400526406,-0.2553605788776456,0.29726560617477515,0.23208920077642106,0.22437078866386928,0.09858796161764236,0.07925307511905944,-0.0331862931995598,0.11606131352283003,-0.07127474088331114,-0.04414413741189885,0.2997622624476538,0.20661720504602843,0.2816230671081157,0.24823261072057032,0.2845912765851628,0.3765323538435626,0.4094882573791202,0.37358989378561497,0.39030292721106585,0.4273023941555009,0.5361148555075858,0.7367830362000671,1.0,0.5601730777596083
V11,0.1511407635454646,-0.1262012018366545,0.15757181330651027,-0.014172568559384412,-0.04717540010787218,-0.1293874868023524,0.010226069134256518,0.13701463037888248,-0.21020287244522912,0.47770969026805044,0.4144710367751751,0.30754523258672545,0.1875463543187787,0.09404114653229916,0.10142555412584509,0.20190100618830878,-0.20103294690702012,0.062439045275493384,0.2730989607082375,0.25709093913214026,0.43306541653017966,0.12540821142500289,0.2568637595195824,0.270177299008024,0.27299058954027394,0.23638656473523123,0.23939595130743802,0.25026487882922466,0.304550895967906,0.4116152645986388,0.5601730777596083,1.0
